variable,api,year,month,date,valor,periodo
INPC,v_inpc,2000,1,2000-01-01,44.930830116378,Ene 2000
INPC,v_inpc,2000,2,2000-02-01,45.329380314522,Feb 2000
INPC,v_inpc,2000,3,2000-03-01,45.580680782035,Mar 2000
INPC,v_inpc,2000,4,2000-04-01,45.840018271642,Abr 2000
INPC,v_inpc,2000,5,2000-05-01,46.011379073729,May 2000
INPC,v_inpc,2000,6,2000-06-01,46.283920241006,Jun 2000
INPC,v_inpc,2000,7,2000-07-01,46.464466209718,Jul 2000
INPC,v_inpc,2000,8,2000-08-01,46.719785188278,Ago 2000
INPC,v_inpc,2000,9,2000-09-01,47.061071604015,Sep 2000
INPC,v_inpc,2000,10,2000-10-01,47.385135825853,Oct 2000
INPC,v_inpc,2000,11,2000-11-01,47.790287862833,Nov 2000
INPC,v_inpc,2000,12,2000-12-01,48.307671180741,Dic 2000
INPC,v_inpc,2001,1,2001-01-01,48.575476247934,Ene 2001
INPC,v_inpc,2001,2,2001-02-01,48.543328159565,Feb 2001
INPC,v_inpc,2001,3,2001-03-01,48.850887781724,Mar 2001
INPC,v_inpc,2001,4,2001-04-01,49.097308632383,Abr 2001
INPC,v_inpc,2001,5,2001-05-01,49.209970463625,May 2001
INPC,v_inpc,2001,6,2001-06-01,49.326363767192,Jun 2001
INPC,v_inpc,2001,7,2001-07-01,49.19820196403,Jul 2001
INPC,v_inpc,2001,8,2001-08-01,49.489687547186,Ago 2001
INPC,v_inpc,2001,9,2001-09-01,49.950381149772,Sep 2001
INPC,v_inpc,2001,10,2001-10-01,50.176135367753,Oct 2001
INPC,v_inpc,2001,11,2001-11-01,50.365148908872,Nov 2001
INPC,v_inpc,2001,12,2001-12-01,50.434898785093,Dic 2001
INPC,v_inpc,2002,1,2002-01-01,50.900472009716,Ene 2002
INPC,v_inpc,2002,2,2002-02-01,50.86774984908,Feb 2002
INPC,v_inpc,2002,3,2002-03-01,51.127948444496,Mar 2002
INPC,v_inpc,2002,4,2002-04-01,51.407234972561,Abr 2002
INPC,v_inpc,2002,5,2002-05-01,51.511429231398,May 2002
INPC,v_inpc,2002,6,2002-06-01,51.762586176959,Jun 2002
INPC,v_inpc,2002,7,2002-07-01,51.911181353362,Jul 2002
INPC,v_inpc,2002,8,2002-08-01,52.108560301264,Ago 2002
INPC,v_inpc,2002,9,2002-09-01,52.421983564994,Sep 2002
INPC,v_inpc,2002,10,2002-10-01,52.653036086686,Oct 2002
INPC,v_inpc,2002,11,2002-11-01,53.078877281374,Nov 2002
INPC,v_inpc,2002,12,2002-12-01,53.309929803065,Dic 2002
INPC,v_inpc,2003,1,2003-01-01,53.525440675316,Ene 2003
INPC,v_inpc,2003,2,2003-02-01,53.674122454969,Feb 2003
INPC,v_inpc,2003,3,2003-03-01,54.012930412786,Mar 2003
INPC,v_inpc,2003,4,2003-04-01,54.10514419947,Abr 2003
INPC,v_inpc,2003,5,2003-05-01,53.930559670749,May 2003
INPC,v_inpc,2003,6,2003-06-01,53.975112399147,Jun 2003
INPC,v_inpc,2003,7,2003-07-01,54.053338701333,Jul 2003
INPC,v_inpc,2003,8,2003-08-01,54.215489910502,Ago 2003
INPC,v_inpc,2003,9,2003-09-01,54.538238163897,Sep 2003
INPC,v_inpc,2003,10,2003-10-01,54.738207386707,Oct 2003
INPC,v_inpc,2003,11,2003-11-01,55.19254160537,Nov 2003
INPC,v_inpc,2003,12,2003-12-01,55.429810786838,Dic 2003
INPC,v_inpc,2004,1,2004-01-01,55.77431734945,Ene 2004
INPC,v_inpc,2004,2,2004-02-01,56.107944757453,Feb 2004
INPC,v_inpc,2004,3,2004-03-01,56.298070935617,Mar 2004
INPC,v_inpc,2004,4,2004-04-01,56.383031952562,Abr 2004
INPC,v_inpc,2004,5,2004-05-01,56.241602942647,May 2004
INPC,v_inpc,2004,6,2004-06-01,56.331744509406,Jun 2004
INPC,v_inpc,2004,7,2004-07-01,56.479390179097,Jul 2004
INPC,v_inpc,2004,8,2004-08-01,56.82804118156,Ago 2004
INPC,v_inpc,2004,9,2004-09-01,57.297917049664,Sep 2004
INPC,v_inpc,2004,10,2004-10-01,57.694747165395,Oct 2004
INPC,v_inpc,2004,11,2004-11-01,58.186899397697,Nov 2004
INPC,v_inpc,2004,12,2004-12-01,58.307088153376,Dic 2004
INPC,v_inpc,2005,1,2005-01-01,58.309160373301,Ene 2005
INPC,v_inpc,2005,2,2005-02-01,58.503430991316,Feb 2005
INPC,v_inpc,2005,3,2005-03-01,58.767120976834,Mar 2005
INPC,v_inpc,2005,4,2005-04-01,58.976415189308,Abr 2005
INPC,v_inpc,2005,5,2005-05-01,58.828251464636,May 2005
INPC,v_inpc,2005,6,2005-06-01,58.771783471666,Jun 2005
INPC,v_inpc,2005,7,2005-07-01,59.001799883395,Jul 2005
INPC,v_inpc,2005,8,2005-08-01,59.072255360862,Ago 2005
INPC,v_inpc,2005,9,2005-09-01,59.309006487348,Sep 2005
INPC,v_inpc,2005,10,2005-10-01,59.454579937114,Oct 2005
INPC,v_inpc,2005,11,2005-11-01,59.882493351727,Nov 2005
INPC,v_inpc,2005,12,2005-12-01,60.250312388501,Dic 2005
INPC,v_inpc,2006,1,2006-01-01,60.603625885796,Ene 2006
INPC,v_inpc,2006,2,2006-02-01,60.696357727462,Feb 2006
INPC,v_inpc,2006,3,2006-03-01,60.772511809723,Mar 2006
INPC,v_inpc,2006,4,2006-04-01,60.861617266519,Abr 2006
INPC,v_inpc,2006,5,2006-05-01,60.590674511262,May 2006
INPC,v_inpc,2006,6,2006-06-01,60.64299806438,Jun 2006
INPC,v_inpc,2006,7,2006-07-01,60.809293713401,Jul 2006
INPC,v_inpc,2006,8,2006-08-01,61.119608647242,Ago 2006
INPC,v_inpc,2006,9,2006-09-01,61.736612130056,Sep 2006
INPC,v_inpc,2006,10,2006-10-01,62.006518775351,Oct 2006
INPC,v_inpc,2006,11,2006-11-01,62.331857303652,Nov 2006
INPC,v_inpc,2006,12,2006-12-01,62.692423570686,Dic 2006
INPC,v_inpc,2007,1,2007-01-01,63.016207934044,Ene 2007
INPC,v_inpc,2007,2,2007-02-01,63.19234662771,Feb 2007
INPC,v_inpc,2007,3,2007-03-01,63.329113142793,Mar 2007
INPC,v_inpc,2007,4,2007-04-01,63.291295129152,Abr 2007
INPC,v_inpc,2007,5,2007-05-01,62.982534360255,May 2007
INPC,v_inpc,2007,6,2007-06-01,63.058170387535,Jun 2007
INPC,v_inpc,2007,7,2007-07-01,63.326004812904,Jul 2007
INPC,v_inpc,2007,8,2007-08-01,63.583996193627,Ago 2007
INPC,v_inpc,2007,9,2007-09-01,64.077702590875,Sep 2007
INPC,v_inpc,2007,10,2007-10-01,64.327405091896,Oct 2007
INPC,v_inpc,2007,11,2007-11-01,64.781221255577,Nov 2007
INPC,v_inpc,2007,12,2007-12-01,65.049055680946,Dic 2007
INPC,v_inpc,2008,1,2008-01-01,65.350563680104,Ene 2008
INPC,v_inpc,2008,2,2008-02-01,65.544834298119,Feb 2008
INPC,v_inpc,2008,3,2008-03-01,66.019890716036,Mar 2008
INPC,v_inpc,2008,4,2008-04-01,66.170126660634,Abr 2008
INPC,v_inpc,2008,5,2008-05-01,66.098635073205,May 2008
INPC,v_inpc,2008,6,2008-06-01,66.372168103369,Jun 2008
INPC,v_inpc,2008,7,2008-07-01,66.742059360068,Jul 2008
INPC,v_inpc,2008,8,2008-08-01,67.127492266209,Ago 2008
INPC,v_inpc,2008,9,2008-09-01,67.58493481476,Sep 2008
INPC,v_inpc,2008,10,2008-10-01,68.0454856932,Oct 2008
INPC,v_inpc,2008,11,2008-11-01,68.818941780387,Nov 2008
INPC,v_inpc,2008,12,2008-12-01,69.295552363249,Dic 2008
INPC,v_inpc,2009,1,2009-01-01,69.456149407474,Ene 2009
INPC,v_inpc,2009,2,2009-02-01,69.60949368196,Feb 2009
INPC,v_inpc,2009,3,2009-03-01,70.009950182561,Mar 2009
INPC,v_inpc,2009,4,2009-04-01,70.254990188749,Abr 2009
INPC,v_inpc,2009,5,2009-05-01,70.050358471108,May 2009
INPC,v_inpc,2009,6,2009-06-01,70.179354161469,Jun 2009
INPC,v_inpc,2009,7,2009-07-01,70.370516449595,Jul 2009
INPC,v_inpc,2009,8,2009-08-01,70.538884318541,Ago 2009
INPC,v_inpc,2009,9,2009-09-01,70.892715870818,Sep 2009
INPC,v_inpc,2009,10,2009-10-01,71.107190633106,Oct 2009
INPC,v_inpc,2009,11,2009-11-01,71.476045779843,Nov 2009
INPC,v_inpc,2009,12,2009-12-01,71.771855174205,Dic 2009
INPC,v_inpc,2010,1,2010-01-01,72.552045976151,Ene 2010
INPC,v_inpc,2010,2,2010-02-01,72.971670511062,Feb 2010
INPC,v_inpc,2010,3,2010-03-01,73.489725492434,Mar 2010
INPC,v_inpc,2010,4,2010-04-01,73.255564640854,Abr 2010
INPC,v_inpc,2010,5,2010-05-01,72.793977652452,May 2010
INPC,v_inpc,2010,6,2010-06-01,72.771183233271,Jun 2010
INPC,v_inpc,2010,7,2010-07-01,72.92919000259,Jul 2010
INPC,v_inpc,2010,8,2010-08-01,73.131749500306,Ago 2010
INPC,v_inpc,2010,9,2010-09-01,73.515110186521,Sep 2010
INPC,v_inpc,2010,10,2010-10-01,73.968926350203,Oct 2010
INPC,v_inpc,2010,11,2010-11-01,74.561581248892,Nov 2010
INPC,v_inpc,2010,12,2010-12-01,74.93095445061,Dic 2010
INPC,v_inpc,2011,1,2011-01-01,75.295991345634,Ene 2011
INPC,v_inpc,2011,2,2011-02-01,75.578460244005,Feb 2011
INPC,v_inpc,2011,3,2011-03-01,75.723450928541,Mar 2011
INPC,v_inpc,2011,4,2011-04-01,75.71744095198,Abr 2011
INPC,v_inpc,2011,5,2011-05-01,75.159264378869,May 2011
INPC,v_inpc,2011,6,2011-06-01,75.155508143518,Jun 2011
INPC,v_inpc,2011,7,2011-07-01,75.516106737184,Jul 2011
INPC,v_inpc,2011,8,2011-08-01,75.635555021335,Ago 2011
INPC,v_inpc,2011,9,2011-09-01,75.821113047659,Sep 2011
INPC,v_inpc,2011,10,2011-10-01,76.332712302422,Oct 2011
INPC,v_inpc,2011,11,2011-11-01,77.158332832502,Nov 2011
INPC,v_inpc,2011,12,2011-12-01,77.792385359697,Dic 2011
INPC,v_inpc,2012,1,2012-01-01,78.343049462107,Ene 2012
INPC,v_inpc,2012,2,2012-02-01,78.502313840976,Feb 2012
INPC,v_inpc,2012,3,2012-03-01,78.547388665184,Mar 2012
INPC,v_inpc,2012,4,2012-04-01,78.300979626179,Abr 2012
INPC,v_inpc,2012,5,2012-05-01,78.053819340105,May 2012
INPC,v_inpc,2012,6,2012-06-01,78.4136666867,Jun 2012
INPC,v_inpc,2012,7,2012-07-01,78.8538974698,Jul 2012
INPC,v_inpc,2012,8,2012-08-01,79.090540296893,Ago 2012
INPC,v_inpc,2012,9,2012-09-01,79.439118937436,Sep 2012
INPC,v_inpc,2012,10,2012-10-01,79.841036119959,Oct 2012
INPC,v_inpc,2012,11,2012-11-01,80.383436504598,Nov 2012
INPC,v_inpc,2012,12,2012-12-01,80.568243283851,Dic 2012
INPC,v_inpc,2013,1,2013-01-01,80.89278201815,Ene 2013
INPC,v_inpc,2013,2,2013-02-01,81.290942965322,Feb 2013
INPC,v_inpc,2013,3,2013-03-01,81.887433139011,Mar 2013
INPC,v_inpc,2013,4,2013-04-01,81.941522928061,Abr 2013
INPC,v_inpc,2013,5,2013-05-01,81.668820241601,May 2013
INPC,v_inpc,2013,6,2013-06-01,81.619237934972,Jun 2013
INPC,v_inpc,2013,7,2013-07-01,81.592193040447,Jul 2013
INPC,v_inpc,2013,8,2013-08-01,81.824328385119,Ago 2013
INPC,v_inpc,2013,9,2013-09-01,82.132339683875,Sep 2013
INPC,v_inpc,2013,10,2013-10-01,82.522988160346,Oct 2013
INPC,v_inpc,2013,11,2013-11-01,83.292265160166,Nov 2013
INPC,v_inpc,2013,12,2013-12-01,83.770058296773,Dic 2013
INPC,v_inpc,2014,1,2014-01-01,84.519051625699,Ene 2014
INPC,v_inpc,2014,2,2014-02-01,84.733157040688,Feb 2014
INPC,v_inpc,2014,3,2014-03-01,84.96529238536,Mar 2014
INPC,v_inpc,2014,4,2014-04-01,84.806779253561,Abr 2014
INPC,v_inpc,2014,5,2014-05-01,84.535579061242,May 2014
INPC,v_inpc,2014,6,2014-06-01,84.682072239918,Jun 2014
INPC,v_inpc,2014,7,2014-07-01,84.914958831661,Jul 2014
INPC,v_inpc,2014,8,2014-08-01,85.219965142136,Ago 2014
INPC,v_inpc,2014,9,2014-09-01,85.596339924274,Sep 2014
INPC,v_inpc,2014,10,2014-10-01,86.06962557846,Oct 2014
INPC,v_inpc,2014,11,2014-11-01,86.763777871266,Nov 2014
INPC,v_inpc,2014,12,2014-12-01,87.188983712964,Dic 2014
INPC,v_inpc,2015,1,2015-01-01,87.110102770599,Ene 2015
INPC,v_inpc,2015,2,2015-02-01,87.275377126029,Feb 2015
INPC,v_inpc,2015,3,2015-03-01,87.630716990204,Mar 2015
INPC,v_inpc,2015,4,2015-04-01,87.403840375023,Abr 2015
INPC,v_inpc,2015,5,2015-05-01,86.967365827273,May 2015
INPC,v_inpc,2015,6,2015-06-01,87.11310775888,Jun 2015
INPC,v_inpc,2015,7,2015-07-01,87.240819760803,Jul 2015
INPC,v_inpc,2015,8,2015-08-01,87.424875292986,Ago 2015
INPC,v_inpc,2015,9,2015-09-01,87.752419015566,Sep 2015
INPC,v_inpc,2015,10,2015-10-01,88.203918504718,Oct 2015
INPC,v_inpc,2015,11,2015-11-01,88.685467876675,Nov 2015
INPC,v_inpc,2015,12,2015-12-01,89.046817717411,Dic 2015
INPC,v_inpc,2016,1,2016-01-01,89.386381393113,Ene 2016
INPC,v_inpc,2016,2,2016-02-01,89.777781116654,Feb 2016
INPC,v_inpc,2016,3,2016-03-01,89.910000600998,Mar 2016
INPC,v_inpc,2016,4,2016-04-01,89.625277961416,Abr 2016
INPC,v_inpc,2016,5,2016-05-01,89.225614520103,May 2016
INPC,v_inpc,2016,6,2016-06-01,89.324027886291,Jun 2016
INPC,v_inpc,2016,7,2016-07-01,89.556914478034,Jul 2016
INPC,v_inpc,2016,8,2016-08-01,89.809333493599,Ago 2016
INPC,v_inpc,2016,9,2016-09-01,90.357743854799,Sep 2016
INPC,v_inpc,2016,10,2016-10-01,90.906154215999,Oct 2016
INPC,v_inpc,2016,11,2016-11-01,91.616833944348,Nov 2016
INPC,v_inpc,2016,12,2016-12-01,92.039034797764,Dic 2016
INPC,v_inpc,2017,1,2017-01-01,93.603882444858,Ene 2017
INPC,v_inpc,2017,2,2017-02-01,94.144780335357,Feb 2017
INPC,v_inpc,2017,3,2017-03-01,94.722489332292,Mar 2017
INPC,v_inpc,2017,4,2017-04-01,94.838932628163,Abr 2017
INPC,v_inpc,2017,5,2017-05-01,94.725494320572,May 2017
INPC,v_inpc,2017,6,2017-06-01,94.963639641805,Jun 2017
INPC,v_inpc,2017,7,2017-07-01,95.322735741331,Jul 2017
INPC,v_inpc,2017,8,2017-08-01,95.793767654306,Ago 2017
INPC,v_inpc,2017,9,2017-09-01,96.093515235291,Sep 2017
INPC,v_inpc,2017,10,2017-10-01,96.69826912675,Oct 2017
INPC,v_inpc,2017,11,2017-11-01,97.695173988821,Nov 2017
INPC,v_inpc,2017,12,2017-12-01,98.272882985756,Dic 2017
INPC,v_inpc,2018,1,2018-01-01,98.794999699501,Ene 2018
INPC,v_inpc,2018,2,2018-02-01,99.17137448164,Feb 2018
INPC,v_inpc,2018,3,2018-03-01,99.492156980588,Mar 2018
INPC,v_inpc,2018,4,2018-04-01,99.154847046097,Abr 2018
INPC,v_inpc,2018,5,2018-05-01,98.994080173087,May 2018
INPC,v_inpc,2018,6,2018-06-01,99.376464931787,Jun 2018
INPC,v_inpc,2018,7,2018-07-01,99.909099104514,Jul 2018
INPC,v_inpc,2018,8,2018-08-01,100.492,Ago 2018
INPC,v_inpc,2018,9,2018-09-01,100.917,Sep 2018
INPC,v_inpc,2018,10,2018-10-01,101.44,Oct 2018
INPC,v_inpc,2018,11,2018-11-01,102.303,Nov 2018
INPC,v_inpc,2018,12,2018-12-01,103.02,Dic 2018
INPC,v_inpc,2019,1,2019-01-01,103.108,Ene 2019
INPC,v_inpc,2019,2,2019-02-01,103.079,Feb 2019
INPC,v_inpc,2019,3,2019-03-01,103.476,Mar 2019
INPC,v_inpc,2019,4,2019-04-01,103.531,Abr 2019
INPC,v_inpc,2019,5,2019-05-01,103.233,May 2019
INPC,v_inpc,2019,6,2019-06-01,103.299,Jun 2019
INPC,v_inpc,2019,7,2019-07-01,103.687,Jul 2019
INPC,v_inpc,2019,8,2019-08-01,103.67,Ago 2019
INPC,v_inpc,2019,9,2019-09-01,103.942,Sep 2019
INPC,v_inpc,2019,10,2019-10-01,104.503,Oct 2019
INPC,v_inpc,2019,11,2019-11-01,105.346,Nov 2019
INPC,v_inpc,2019,12,2019-12-01,105.934,Dic 2019
INPC,v_inpc,2020,1,2020-01-01,106.447,Ene 2020
INPC,v_inpc,2020,2,2020-02-01,106.889,Feb 2020
INPC,v_inpc,2020,3,2020-03-01,106.838,Mar 2020
INPC,v_inpc,2020,4,2020-04-01,105.755,Abr 2020
INPC,v_inpc,2020,5,2020-05-01,106.162,May 2020
INPC,v_inpc,2020,6,2020-06-01,106.743,Jun 2020
INPC,v_inpc,2020,7,2020-07-01,107.444,Jul 2020
INPC,v_inpc,2020,8,2020-08-01,107.867,Ago 2020
INPC,v_inpc,2020,9,2020-09-01,108.114,Sep 2020
INPC,v_inpc,2020,10,2020-10-01,108.774,Oct 2020
INPC,v_inpc,2020,11,2020-11-01,108.856,Nov 2020
INPC,v_inpc,2020,12,2020-12-01,109.271,Dic 2020
INPC,v_inpc,2021,1,2021-01-01,110.21,Ene 2021
INPC,v_inpc,2021,2,2021-02-01,110.907,Feb 2021
INPC,v_inpc,2021,3,2021-03-01,111.824,Mar 2021
INPC,v_inpc,2021,4,2021-04-01,112.19,Abr 2021
INPC,v_inpc,2021,5,2021-05-01,112.419,May 2021
INPC,v_inpc,2021,6,2021-06-01,113.018,Jun 2021
INPC,v_inpc,2021,7,2021-07-01,113.682,Jul 2021
INPC,v_inpc,2021,8,2021-08-01,113.899,Ago 2021
INPC,v_inpc,2021,9,2021-09-01,114.601,Sep 2021
INPC,v_inpc,2021,10,2021-10-01,115.561,Oct 2021
INPC,v_inpc,2021,11,2021-11-01,116.884,Nov 2021
INPC,v_inpc,2021,12,2021-12-01,117.308,Dic 2021
INPC,v_inpc,2022,1,2022-01-01,118.002,Ene 2022
INPC,v_inpc,2022,2,2022-02-01,118.981,Feb 2022
INPC,v_inpc,2022,3,2022-03-01,120.159,Mar 2022
INPC,v_inpc,2022,4,2022-04-01,120.809,Abr 2022
INPC,v_inpc,2022,5,2022-05-01,121.022,May 2022
INPC,v_inpc,2022,6,2022-06-01,122.044,Jun 2022
INPC,v_inpc,2022,7,2022-07-01,122.948,Jul 2022
INPC,v_inpc,2022,8,2022-08-01,123.803,Ago 2022
INPC,v_inpc,2022,9,2022-09-01,124.571,Sep 2022
INPC,v_inpc,2022,10,2022-10-01,125.276,Oct 2022
INPC,v_inpc,2022,11,2022-11-01,125.997,Nov 2022
INPC,v_inpc,2022,12,2022-12-01,126.478,Dic 2022
INPC,v_inpc,2023,1,2023-01-01,127.336,Ene 2023
INPC,v_inpc,2023,2,2023-02-01,128.046,Feb 2023
INPC,v_inpc,2023,3,2023-03-01,128.389,Mar 2023
INPC,v_inpc,2023,4,2023-04-01,128.363,Abr 2023
INPC,v_inpc,2023,5,2023-05-01,128.084,May 2023
INPC,v_inpc,2023,6,2023-06-01,128.214,Jun 2023
INPC,v_inpc,2023,7,2023-07-01,128.832,Jul 2023
INPC,v_inpc,2023,8,2023-08-01,129.545,Ago 2023
INPC,v_inpc,2023,9,2023-09-01,130.12,Sep 2023
INPC,v_inpc,2023,10,2023-10-01,130.609,Oct 2023
INPC,v_inpc,2023,11,2023-11-01,131.445,Nov 2023
INPC,v_inpc,2023,12,2023-12-01,132.373,Dic 2023
INPC,v_inpc,2024,1,2024-01-01,133.555,Ene 2024
INPC,v_inpc,2024,2,2024-02-01,133.681,Feb 2024
INPC,v_inpc,2024,3,2024-03-01,134.065,Mar 2024
INPC,v_inpc,2024,4,2024-04-01,134.336,Abr 2024
INPC,v_inpc,2024,5,2024-05-01,134.087,May 2024
INPC,v_inpc,2024,6,2024-06-01,134.594,Jun 2024
INPC,v_inpc,2024,7,2024-07-01,136.003,Jul 2024
INPC,v_inpc,2024,8,2024-08-01,136.013,Ago 2024
INPC,v_inpc,2024,9,2024-09-01,136.08,Sep 2024
INPC,v_inpc,2024,10,2024-10-01,136.828,Oct 2024
INPC,v_inpc,2024,11,2024-11-01,137.424,Nov 2024
INPC,v_inpc,2024,12,2024-12-01,137.949,Dic 2024
INPC,v_inpc,2025,1,2025-01-01,138.343,Ene 2025
INPC,v_inpc,2025,2,2025-02-01,138.726,Feb 2025
INPC,v_inpc,2025,3,2025-03-01,139.161,Mar 2025
